,WD,arkid,nameAuth,urlAuth,Auktoriserad,Datum,Auktoritetspost,WD_Arken
4721,,,"Landegren, Dessy Elisabet","Landegren,-Dessy-Elisabet","Landegren, Dessy Elisabet",1892-1973,ediffah:kb:129655:1163693913,Arken_only
4723,,,"Landegren, Åke August Viking","Landegren,-Åke-August-Viking","Landegren, Åke August Viking",1888-1966,ediffah:kb:129655:1163693913,Arken_only
4726,,,"Landgren, Strickert","Landgren,-Strickert","Landgren, Strickert",1835-1898,ediffah:kb:1007607:x000001933,Arken_only
4728,,,"Landtmanson, Carl Anders Samuel","Landtmanson,-Carl-Anders-Samuel","Landtmanson, Carl Anders Samuel",1876-1953,ediffah:kb:284611:1187609307,Arken_only
4731,,,Lapska missionens vänner,lapska-missionens-vanner,Lapska missionens vänner,1880-1934,https://libris.kb.se/31fjr8zm1xm4ns1#it,Arken_only
4734,,,"Larson, Johan August","Larson,-Johan-August","Larson, Johan August",1856-1931,https://libris.kb.se/sq47g7tb5g8wc3f#it,Arken_only
4735,,,"Larson, Tekla Augusta","Larson,-Tekla-Augusta","Larson, Tekla Augusta",1859-1929,https://libris.kb.se/wt7bkbxf2nr6sn9#it,Arken_only
4738,,,"Larsson, Henning",larsson-henning,"Larsson, Henning",1916-2008,https://libris.kb.se/0xbd83dj3jfzgbv#it,Arken_only
4740,,,"Larsson, John Arthur","Larsson,-John-Arthur","Larsson, John Arthur",1909-,ediffah:kb:261867:1163066040,Arken_only
4750,,,"Laurin-Cederschiöld, Elizabeth",laurin-cederschiold-elizabeth,"Laurin-Cederschiöld, Elizabeth",1923-2015,https://libris.kb.se/pm14cd870q4jrnq#it,Arken_only
4751,,,"Leander, Johan Peter","Leander,-Johan-Peter","Leander, Johan Peter",1735-1792,https://libris.kb.se/qn25dm883s32bwx#it,Arken_only
4753,,,"Lebesque, Philéas","Lebesque,-Philéas","Lebesque, Philéas",1869-1958,ediffah:kb:479990:1343145735,Arken_only
4754,,,"Leche, Minchen","Leche,-Wilhelmina-Louisa-Fredrika-Dorothea","Leche, Minchen",1855-1947,https://libris.kb.se/7jzvgqwp5rkcvzs3#it,Arken_only
4756,,,"Leeb-Lundberg, Waldemar","Leeb-Lundberg,-Waldermar","Leeb-Lundberg, Waldemar",1880-1927,https://libris.kb.se/zw9c73wh3k9zn37#it,Arken_only
4757,,,Leffler (släkt),Leffler-släkt,Leffler (släkt),,https://libris.kb.se/h1t2s3qt2lc89ck#it,Arken_only
4758,,,"Leffler, Albertine","Leffler,-Albertine","Leffler, Albertine",1874-1954,ediffah:kb:974589:1415976947,Arken_only
4759,,,"Leffler, Ernst","Leffler,-Ernst","Leffler, Ernst",1858-1916,https://libris.kb.se/20dhl36l09nz14w#it,Arken_only
4760,,,"Leffler, Harriet","Leffler,-Harriet","Leffler, Harriet",1872-1957,ediffah:kb:974589:1415976947,Arken_only
4762,,,"Leffler, Signe Maria","Leffler,-Signe-Maria","Leffler, Signe Maria",1886-1975,ediffah:kb:490970:1427365174,Arken_only
4766,,,Leijonmarck (släkt),Leijonmarck-släkt,Leijonmarck (släkt),,ediffah:kb:474598:1148468297,Arken_only
4767,,,"Leijonmarck, Evald Gustaf","Leijonmarck,-Evald-Gustaf","Leijonmarck, Evald Gustaf",1809-1884,https://libris.kb.se/jgvz76d213gkwsc#it,Arken_only
4769,,,"Lejionborg, Ingemar",lejionborg-ingemar,"Lejionborg, Ingemar",1940-,https://libris.kb.se/fcrv453z1552vds#it,Arken_only
4777,,,"Lenngren, Carl Peter","Lenngren,-Carl-Peter","Lenngren, Carl Peter",1750-1820,ediffah:kb:753661:1256646798,Arken_only
4779,,,"Levertin, Lars","Levertin,-Lars","Levertin, Lars",1865-1940,ediffah:kb:712636:1416216739,Arken_only
4780,,,"Levertin, Wilhelm","Levertin,-Wilhelm","Levertin, Wilhelm",1829-1899,ediffah:kb:712636:1416216739,Arken_only
4783,,,Liber kartor,liber-kartor,Liber kartor,,https://libris.kb.se/42gjlhmn103gqkg#it,Arken_only
4786,,,Lidman Production,lidman-production,Lidman Production,,https://libris.kb.se/1zcgmcwk1jb7j5q#it,Arken_only
4787,,,"Lidman, Elsa Ebba Josefina","Lidman,-Elsa-Ebba-Josefina","Lidman, Elsa Ebba Josefina",1874-1952,ediffah:kb:387577:1482850099,Arken_only
4788,,,Lidströmer (släkt),Lidströmer-släkt,Lidströmer (släkt),,ediffah:kb:932731:1468498066,Arken_only
4789,,,"Lidströmer, Gustaf Fredrik August","Lidströmer,-Gustaf-Fredrik-August","Lidströmer, Gustaf Fredrik August",1871-1944,ediffah:kb:932731:1468498066,Arken_only
4790,,,"Lidströmer, Otto August Osmond","Lidströmer,-Otto-August-Osmond","Lidströmer, Otto August Osmond",1839-1915,ediffah:kb:932731:1468498066,Arken_only
4791,,,"Lidströmer, Sigrid","Lidströmer,-Sigrid","Lidströmer, Sigrid",1866-1992,ediffah:kb:932731:1468498066,Arken_only
4792,,,"Lidén, Elisabeth",liden-elisabeth,"Lidén, Elisabeth",1939-,https://libris.kb.se/zw9cdnfh4lshhlp#it,Arken_only
4795,,,"Liedbeck, Edith","Liedbeck,-Edith","Liedbeck, Edith",1893-1961,ediffah:kb:747509:1365577537,Arken_only
4796,,,Lignell (släkt),Lignell-släkt,Lignell (släkt),,https://libris.kb.se/vd6f5gw624zrbkb#it,Arken_only
4797,,,"Lignell, Anders Johan","Lignell,-Anders-Johan","Lignell, Anders Johan",1779-1824,ediffah:kb:490431:1382518345,Arken_only
4798,,,"Lignell, Anna Katarina","Lignell,-Anna-Katarina","Lignell, Anna Katarina",1809-1876,ediffah:kb:490431:1382518345,Arken_only
4799,,,"Lignell, Carl Anthon","Lignell,-Carl-Anthon","Lignell, Carl Anthon",1816-1892,ediffah:kb:490431:1382518345,Arken_only
4800,,,"Lignell, Carl Eugen","Lignell,-Carl-Eugen","Lignell, Carl Eugen",1868-1949,ediffah:kb:490431:1382518345,Arken_only
4801,,,"Lignell, Erik Johan","Lignell,-Erik-Johan","Lignell, Erik Johan",1811-1850,ediffah:kb:490431:1382518345,Arken_only
4807,,,"Liljeblad, Astrid",liljeblad-astrid,"Liljeblad, Astrid",1907-1985,https://libris.kb.se/42gksk3n3qb78zg#it,Arken_only
4812,,,"Lilliehöök af Gälared och Kolbäck, Gustav Arvid","Lilliehöök-af-Gälared-och-Kolbäck,-Gustav-Arvid","Lilliehöök af Gälared och Kolbäck, Gustav Arvid",1829-1922,ediffah:kb:751355:1368615452,Arken_only
4813,,,"Lilliehöök, Agnes","Lilliehöök,-Agnes,-f-Holm","Lilliehöök, Agnes",1884-1967,ediffah:kb:583446:1416234126,Arken_only
4814,,,"Lilliehöök, Augusta,","Lilliehöök,-Augusta,-f-von-Nolcken","Lilliehöök, Augusta,",1805-1874,ediffah:kb:751355:1368615452,Arken_only
4815,,,"Lilliehöök, Benkt Christoffer","Lilliehöök,-Benkt-Christoffer","Lilliehöök, Benkt Christoffer",1612-1665,ediffah:kb:950173:1415106161,Arken_only
4817,,,"Lilliehöök, Fredrik","Lilliehöök,-Fredrik","Lilliehöök, Fredrik",1802-1884,ediffah:kb:751355:1368615452,Arken_only
4818,,,"Lilliehöök, Gustaf W:son","Lilliehöök,-Gustaf-W:son","Lilliehöök, Gustaf W:son",1882-1961,https://libris.kb.se/vs69jbhd5clk11g#it,Arken_only
4819,,,"Lilliehöök, Gustav Arvid","Lilliehöök,-Gustav-Arvid","Lilliehöök, Gustav Arvid",,ediffah:kb:751355:1368615452,Arken_only
4820,,,"Lilliehöök, Johan Bertil","Lilliehöök,-Johan-Bertil","Lilliehöök, Johan Bertil",1859-1933,ediffah:kb:950173:1415106161,Arken_only
4821,,,"Lilliehöök, Mac Gustafsson","Lilliehöök,-Mac-Gustafsson","Lilliehöök, Mac Gustafsson",1912-1974,ediffah:kb:950173:1415106161,Arken_only
4822,,,"Lilliehöök, Mac Wilhelmsson","Lilliehöök,-Mac-Wilhelmsson","Lilliehöök, Mac Wilhelmsson",1889-1957,ediffah:kb:950173:1415106161,Arken_only
4824,,,"Lillieström, Carl Claudius von","Lillieström,-Carl-Claudius-von","Lillieström, Carl Claudius von",1698-1750,ediffah:kb:736765:1481180451,Arken_only
4826,,,"Lindahl, Magnus","Lindahl,-Magnus","Lindahl, Magnus",1916-2014,ediffah:kb:285979:1415978596,Arken_only
4827,,,"Lindahl, Turid","Lindahl,-Turid","Lindahl, Turid",1923-,https://libris.kb.se/jgvz60225dslq51#it,Arken_only
4829,,,"Lindberg, Anders Alfred","Lindberg,-Anders-Alfred","Lindberg, Anders Alfred",1847-1921,ediffah:kb:224503:1256547482,Arken_only
4830,,,"Lindberg, Gösta","Lindberg,-Gösta","Lindberg, Gösta",1868-,ediffah:kb:730203:1482849439,Arken_only
4832,,,"Lindberg, Ragnhild","Lindberg,-Ragnhild","Lindberg, Ragnhild",1868-,ediffah:kb:495327:1270823290,Arken_only
4833,,,"Lindblad, Bertil","Lindblad,-Bertil","Lindblad, Bertil",1894-1965,ediffah:kb:800399:1147955639,Arken_only
4834,,,"Lindblad, Per","Lindblad,-Per","Lindblad, Per",1766-1802,https://libris.kb.se/b8nr0gmv2n6zj10#it,Arken_only
4840,,,"Lindeblad, Alexius Leonard","Lindeblad,-Alexius-Leonard","Lindeblad, Alexius Leonard",1833-,ediffah:kb:948223:1174909143,Arken_only
4842,,,"Lindegren, Laila","Lindegren,-Laila","Lindegren, Laila",1911-1987,ediffah:kb:974541:1154947192,Arken_only
4845,,,Linder (släkt),Linder,Linder (släkt),,ediffah:kb:882926:1482854201,Arken_only
4847,,,"Linder, Alma","Linder,-Alma","Linder, Alma",1845-1935,ediffah:kb:849663:1437035044,Arken_only
4849,,,"Linder, Estrid",linder-estrid,"Linder, Estrid",1890-1972,https://libris.kb.se/64jmrs0q07kndgw#it,Arken_only
4855,,,"Linder, Marianne",linder-marianne,"Linder, Marianne",1919-2012,https://libris.kb.se/gdsw00303pc7cgh#it,Arken_only
4860,,,"Linder, Tyra Gurli Regine","Linder,-Tyra-Gurli-Regine","Linder, Tyra Gurli Regine",1891-1980,ediffah:kb:393047:1138182745,Arken_only
4866,,,"Lindgren, Leif","Lindgren,-Leif,-1946-,-Barnboksillustratör","Lindgren, Leif",1946-,https://libris.kb.se/mkz12ms51zkwvkx#it,Arken_only
4868,,,"Lindner, Jörg",lindner-jorg,"Lindner, Jörg",1941-,https://libris.kb.se/20dgh8xl1pp537r#it,Arken_only
4869,,,"Lindorm, Elin Marta Magdalena","Lindorm,-Elin-Marta-Magdalena","Lindorm, Elin Marta Magdalena",1884-1973,ediffah:kb:260796:1145892642,Arken_only
4870,,,"Lindquist, Hjalmar","Lindquist,-Hjalmar-Ossian","Lindquist, Hjalmar",1871-1940,ediffah:kb:652793:1269933774,Arken_only
4871,,,"Lindqvist, Sune",lindqvist-sune,"Lindqvist, Sune",1911-2007,https://libris.kb.se/tr578xqc228kj37#it,Arken_only
4874,,,"Lindstedt, Eva",lindstedt-eva,"Lindstedt, Eva",1926-2014,https://libris.kb.se/gdsw3mw01z7g5s6#it,Arken_only
4882,,,"Linton, Margareta","Linton,-Margareta","Linton, Margareta",1931-1911,ediffah:kb:916479:1401087016,Arken_only
4893,,,"Lobråten, Gunnar","Lobråten,-Gunnar","Lobråten, Gunnar",1920-2000,https://libris.kb.se/zw9c75nh12qf1zf#it,Arken_only
4895,,,"Lodén, Torbjörn",loden-torbjorn,"Lodén, Torbjörn",1947-,https://libris.kb.se/86lnpfds434w56h#it,Arken_only
4899,,,"Lollesgaard, Hans Ruge","Lollesgaard,-Hans-Ruge","Lollesgaard, Hans Ruge",1923-1993,ediffah:kb:129469:1434025938,Arken_only
4900,,,"Looström, Karl Robert",loostrom-karl-robert,"Looström, Karl Robert",1811-1889,https://libris.kb.se/rp36fww93cqsjx0#it,Arken_only
4902,,,"Louise, drottning av Sverige","Louise,-drottning-av-Sverige","Louise, drottning av Sverige",1889-1965,ediffah:kb:569327:1179313396,Arken_only
4907,,,"Lundberg von Schulzenheim, Nonny","Lundberg-von-Schulzenheim,-Nonny","Lundberg von Schulzenheim, Nonny",1869-1960,ediffah:kb:655103:1421844098,Arken_only
4909,,,"Lundberg, Anna","Lundberg,-Anna,-f-Kalling","Lundberg, Anna",1846-1930,ediffah:kb:775167:1221739081,Arken_only
4910,,,"Lundberg, August",lundberg-august,"Lundberg, August",1863-1930,https://libris.kb.se/0xbdgnnj1l6wmff#it,Arken_only
4919,,,"Lundberg, Victor","Lundberg,-Victor","Lundberg, Victor",1851-1919,ediffah:kb:775167:1221739081,Arken_only
4921,,,"Lundebeck, Anders","Lundebeck,-Anders","Lundebeck, Anders",1900-1976,ediffah:kb:422874:1425564120,Arken_only
4929,,,"Lundquist, Ernst","Lundquist,-Ernst-Gustaf-Theodor","Lundquist, Ernst",1865-1942,ediffah:kb:159147:1179312655,Arken_only
4932,,,"Lundström, Isidor","Lundström,-Isidor-1","Lundström, Isidor",1843-1925,https://libris.kb.se/31fjmqkm26g4x7s#it,Arken_only
4933,,,"Lundström, Ruth",lundstrom-ruth,"Lundström, Ruth",1941-2016,https://libris.kb.se/xv8bdt9g4lhrltk#it,Arken_only
4943,,,Lyriksamfundet,"Poesi,-Lyriksamfundets-tidskrift",Lyriksamfundet,,ediffah:kb:488446:1424943073,Arken_only
4944,,,Lyrikvännen : tidskrift för FIB:s lyrikklubb,lyrikvannen-tidskrift-for-fib-s-lyrikklubb,Lyrikvännen : tidskrift för FIB:s lyrikklubb,1954-,http://libris.kb.se/resource/auth/3742144,Arken_only
4946,,,"Låftman, Emil","Låftman,-Emil","Låftman, Emil",1877-1960,https://libris.kb.se/86lpwfhs1cm6bkr#it,Arken_only
4948,,,"Långström, Sture",langstrom-sture,"Långström, Sture",1937-,https://libris.kb.se/mkz273354w2gbjs#it,Arken_only
4953,,,"Löfgren, Johanna Amanda","Löfgren,-Johanna-Amanda","Löfgren, Johanna Amanda",1842-1905,ediffah:kb:833911:1415020820,Arken_only
4954,,,"Löfgren, Jonas","Löfgren,-Jonas","Löfgren, Jonas",1836-1915,ediffah:kb:833911:1415020820,Arken_only
4956,,,"Löfgren, Ulla Amanda","Löfgren,-Ulla-Amanda","Löfgren, Ulla Amanda",1911-1994,ediffah:kb:833911:1415020820,Arken_only
4958,,,"Lönnroth, Christina","Lönnroth,-Cristina","Lönnroth, Christina",1840-1903,https://libris.kb.se/c9ps1g3w38mnqgj#it,Arken_only
4965,,,"Löwenhjelm, Carl","Löwenhjelm,-Carl","Löwenhjelm, Carl",1881-1967,https://libris.kb.se/42gkp32n49z4chc#it,Arken_only
4967,,,Löwstädt (släkt),Löwstädt-släkt,Löwstädt (släkt),,http://libris.kb.se/resource/bib/17260995,Arken_only
4969,,,"Macau, Jaques","Macau,-Jaques","Macau, Jaques",1936-1982,ediffah:kb:687741:1154520545,Arken_only
4970,,,"Makarios III,  ärkebiskop av Cypern",Makarios-III,"Makarios III,  ärkebiskop av Cypern",1913-1977,ediffah:kb:285979:1415978596,Arken_only
4971,,,"Maler, Bertil","Maler,-Bertil","Maler, Bertil",1910-1980,ediffah:kb:671614:1140801742,Arken_only
4973,,,Malmberg (släkt),Släkten-Malmberg,Malmberg (släkt),,ediffah:kb:622075:1168440418,Arken_only
4974,,,"Malmberg, Alexander Teodor","Malmberg,-Alexander-Teodor","Malmberg, Alexander Teodor",1851-1934,https://libris.kb.se/mkz2577554np4tn#it,Arken_only
4975,,,"Malmberg, Carin","Malmberg,-Carin","Malmberg, Carin",1922-1990,ediffah:kb:139258:1147436482,Arken_only
4976,,,"Malmberg, Ernst Fredrik Waldemar","Malmberg,-Ernst-Fredrik-Waldemar","Malmberg, Ernst Fredrik Waldemar",1867-1960,ediffah:kb:914935:1168440224,Arken_only
4977,,,"Malmberg, Folke","Malmberg,-Folke,-konservator","Malmberg, Folke",,ediffah:kb:914935:1168440224,Arken_only
4978,,,"Malmberg, Hanna","Malmberg,-Hanna,-f-Roman","Malmberg, Hanna",1862-1948,ediffah:kb:798170:1230648251,Arken_only
4979,,,"Malmberg, Sonja","Malmberg,-Sonja","Malmberg, Sonja",,ediffah:kb:916957:1168440162,Arken_only
4982,,,Malmsten (släkt),"Malmsten,-släkt-från-Västergötland",Malmsten (släkt),,ediffah:kb:457687:1414071412,Arken_only
4983,,,"Malmsten, Margit","Malmsten,-Margit","Malmsten, Margit",1918-2008,https://libris.kb.se/vd6f5gt613vc8vz#it,Arken_only
4984,,,"Malmström, August Valdemar","Malmström,-August-Valdemar","Malmström, August Valdemar",1857-1923,ediffah:kb:810939:1374222776,Arken_only
4985,,,"Malmström, Carl Gustav","Malmström,-Carl-Gustav","Malmström, Carl Gustav",1822-1912,ediffah:kb:736495:1364311334,Arken_only
4987,,,"Mandorff, Conrad Arvid Johan","Mandorff,-Conrad-Arvid-Johan,-Sveriges-konsul-i-Stralsund","Mandorff, Conrad Arvid Johan",1774-1849,https://libris.kb.se/kvs159tbh83sjnj2#it,Arken_only
4990,,,"Mannerfrid, Henrik","Mannerfrid,-Henrik,-affärsman","Mannerfrid, Henrik",,ediffah:kb:884191:1305669217,Arken_only
4995,,,"Martin, Christina Charlotta","Martin,-Christina-Charlotta","Martin, Christina Charlotta",1773-1853,ediffah:kb:196590:1414586243,Arken_only
5000,,,"Masreliez, Louis",masreliez-louis,"Masreliez, Louis",1748-1810,https://libris.kb.se/vs69j6fd5nl30qg#it,Arken_only
5003,,,Mats B.,Mats-B,Mats B.,1951-2009,https://libris.kb.se/jgvz2g125hhjf2m,Arken_only
5004,,,"Matton, Carl","Matton,-Carl","Matton, Carl",1781-1866,ediffah:kb:864191:1193060078,Arken_only
5012,,,"Melander, Lars",melander-lars,"Melander, Lars",1939-,https://libris.kb.se/c9prtj4w0qjdlk3#it,Arken_only
5013,,,"Mellin, Oscar Maximilian","Mellin,-Oscar-maximilian","Mellin, Oscar Maximilian",1843-1929,ediffah:kb:704491:1308647327,Arken_only
5014,,,"Mellin, Per August","Mellin,-Per-August","Mellin, Per August",1816-,ediffah:kb:704491:1308647327,Arken_only
5016,,,"Meschke, Kurt","Meschke,-Kurt","Meschke, Kurt",1901-1971,ediffah:kb:225247:1425553622,Arken_only
5017,,,"Mesterton, Ingrid","Mesterton,-Ingrid","Mesterton, Ingrid",1914-2008,ediffah:kb:950223:1416223215,Arken_only
5019,,,"Meyer, Gustaf","Meyer,-Gustaf","Meyer, Gustaf",1848-1935,https://libris.kb.se/xv8bft9g1rdfznt#it,Arken_only
5022,,,"Mickwitz, Nils","Mickwitz,-Nils","Mickwitz, Nils",1942-2012,https://libris.kb.se/31fjrjgm0xvqh71#it,Arken_only
5023,,,"Milles, Birgitta","Milles,-Birgitta,-född-Hedberg","Milles, Birgitta",1929-1974,ediffah:kb:391967:1416216231,Arken_only
5025,,,"Mitander, Ulrika","Mitander,-Ulrika","Mitander, Ulrika",1812-1896,ediffah:kb:753623:1414592421,Arken_only
5027,,,MoDo,modo,MoDo,,https://libris.kb.se/1zcfh9vk5nc6vsk#it,Arken_only
5028,,,"Moberg, Einar",moberg-einar,"Moberg, Einar",1902-1980,https://libris.kb.se/sq469mlb4q44g4r#it,Arken_only
5030,,,Moderna museet,moderna-museet,Moderna museet,1958-,https://libris.kb.se/wt7970pf4qtd906#it,Arken_only
5031,,,Molander (släkt),"Molander,-släkten",Molander (släkt),,ediffah:kb:729003:1429185556,Arken_only
5035,,,"Mollén, Anna Catharina","Mollén,-Anna-Catharina,-f-Rimner","Mollén, Anna Catharina",,ediffah:kb:310875:1433852615,Arken_only
5036,,,"Mollén, G. J.","Mollén,-G-J","Mollén, G. J.",,ediffah:kb:310875:1433852615,Arken_only
5039,,,Montgomery (släkt),Montgomery,Montgomery (släkt),,ediffah:kb:289907:1305824980,Arken_only
5042,,,"Moreteus, Theodorus","Moreteus,-Theodorus","Moreteus, Theodorus",1602-1667,ediffah:kb:555001:1368617062,Arken_only
5045,,,"Moselius, Carl Emil","Moselius,-Carl-Emil","Moselius, Carl Emil",1950-,ediffah:kb:556487:1240994613,Arken_only
5046,,,"Moselius, Carna","Moselius,-Carna","Moselius, Carna",1914-2001,ediffah:kb:556487:1240994613,Arken_only
5047,,,"Moselius, Catharina","Moselius,-Catharina","Moselius, Catharina",1949-,ediffah:kb:556487:1240994613,Arken_only
5048,,,"Moselius, Karl Gustaf","Moselius,-Karl-Gustaf","Moselius, Karl Gustaf",1910-1981,https://libris.kb.se/42gkskmn4x049qc#it,Arken_only
5050,,,"Munck af Rosenschöld, Ingeborg",munck-af-rosenschold-ingeborg,"Munck af Rosenschöld, Ingeborg",1877-1926,https://libris.kb.se/1644388,Arken_only
5052,,,Musikföreningen Framtidshopp,Musikföreningen-Framtidshopp,Musikföreningen Framtidshopp,,ediffah:kb:785365:1456734159,Arken_only
5060,,,Måltidsakademien,maltidsakademien,Måltidsakademien,,https://libris.kb.se/nl024t860xjnp7g#it,Arken_only
5061,,,"Mård, Sylvia","Mård,-Sylvia","Mård, Sylvia",1941-,https://libris.kb.se/42gkqb8n04s5wd1#it,Arken_only
5062,,,"Möller, Axel Tagesson","Möller,-Axel-Tagesson","Möller, Axel Tagesson",1871-1943,ediffah:kb:131039:1244553308,Arken_only
5072,,,"Nasiell, Annika",nasiell-annika,"Nasiell, Annika",1952-,https://libris.kb.se/42gks1kn4t5gdt5#it,Arken_only
5074,,,Nationalsocialistiska arbetarepartiet,Nationalsocialistiska-arbetarpartiet,Nationalsocialistiska arbetarepartiet,,https://libris.kb.se/zw9cfk6h0xkqhf4#it,Arken_only
5075,,,Natur & Kultur,natur-kultur,Natur & Kultur,,https://libris.kb.se/c9prpz6w17vmjr0#it,Arken_only
5077,,,"Neijberg, Anna Johanna","Neijberg,-Anna-Johanna","Neijberg, Anna Johanna",1771-1839,ediffah:kb:196543:1357722285,Arken_only
5080,,,Neovius (släkt),Neovius-släkt,Neovius (släkt),,https://libris.kb.se/j2v3t5xv07d7nzc#it,Arken_only
5084,,,"Nerman, Ida","Nerman,-Ida","Nerman, Ida",,https://libris.kb.se/rp36f7b9205hnqs#it,Arken_only
5085,,,"Nerman, Johan","Nerman,-Johan","Nerman, Johan",1844-1920,https://libris.kb.se/pm14c58741wc68m#it,Arken_only
5086,,,"Netherwood, Anders","Netherwood,-Anders","Netherwood, Anders",1739-1804,ediffah:kb:552671:1414673132,Arken_only
5089,,,"Niklasson, Bertil","Niklasson,-Bertil","Niklasson, Bertil",1919-2007,ediffah:kb:299003:1274470177,Arken_only
5093,,,"Nilsson, Anders",nilsson-anders,"Nilsson, Anders",1953-,https://libris.kb.se/53hkfnsp1rddc2b#it,Arken_only
5094,,,"Nilsson, Bengt","Nilsson,-Bengt","Nilsson, Bengt",,ediffah:kb:324284:1142266321,Arken_only
5096,,,"Nilsson, Inger Anna Gunilla","Nilsson,-Inger-Anna-Gunilla","Nilsson, Inger Anna Gunilla",1933-2008,ediffah:kb:474047:1427365134,Arken_only
5104,,,"Nirje, Bengt","Nirje,-Bengt","Nirje, Bengt",1924-2006,ediffah:kb:679731:1426677470,Arken_only
5107,,,"Norberg, Rudolf","Norberg,-Rudolf","Norberg, Rudolf",1856-1946,https://libris.kb.se/dbqt2ttx0rqsdw1#it,Arken_only
5108,,,"Nordberg, Arne",nordberg-arne,"Nordberg, Arne",1902-1982,https://libris.kb.se/1zcglp8k1n9b211#it,Arken_only
5109,,,"Nordenfalk, Edla Carolina Elisabet","Nordenfalk,-Edla-Carolina-Elisabet","Nordenfalk, Edla Carolina Elisabet",1840-1915,ediffah:kb:736493:1414496164,Arken_only
5110,,,"Nordenfalk, Gustaf Erland Johan","Nordenfalk,-Gustaf-Erland-Johan","Nordenfalk, Gustaf Erland Johan",1834-1878,https://libris.kb.se/31fhkjjm4jfttb2#it,Arken_only
5111,,,"Nordenfeldt, Enar Wilhelm","Nordenfeldt,-Enar-Wilhelm","Nordenfeldt, Enar Wilhelm",1798-1868,https://libris.kb.se/31fjsnlm32c4r78#it,Arken_only
5112,,,"Nordenfeldt, Olof Gabriel","Nordenfeldt,-Olof-Gabriel","Nordenfeldt, Olof Gabriel",1757-1790,ediffah:kb:753623:1414592421,Arken_only
5113,,,"Nordenfelt, Carl Henrik","Nordenfelt,-Carl-Henrik","Nordenfelt, Carl Henrik",1837-1911,ediffah:kb:753623:1414592421,Arken_only
5115,,,"Nordenfelt, Inger","Nordenfelt,-Inger-f-Wilhelmson","Nordenfelt, Inger",1902-1988,ediffah:kb:537674:1367492257,Arken_only
5116,,,"Nordenfelt, Thorsten Vilhelm","Nordenfelt,-Thorsten-Vilhelm","Nordenfelt, Thorsten Vilhelm",1842-1920,ediffah:kb:753623:1414592421,Arken_only
5117,,,"Nordenfors, Otto",nordenfors-otto,"Nordenfors, Otto",1898-1974,https://libris.kb.se/rp356j69096d7dw#it,Arken_only
5119,,,"Nordenskjöld, Gustaf","Nordenskjöld,-Gustaf","Nordenskjöld, Gustaf",1831-1902,https://libris.kb.se/gdsw4x304vf29s6#it,Arken_only
5121,,,"Nordgren-Karlén, Kerstin Margareta","Nordgren-Karlén,-Kerstin-Margareta","Nordgren-Karlén, Kerstin Margareta",1912-2002,ediffah:kb:450879:1429860886,Arken_only
5124,,,"Nordin, Carl-Gustaf",nordin-carl-gustaf,"Nordin, Carl-Gustaf",1915-2002,https://libris.kb.se/katalogisering/jgvz37c20gpmp1q,Arken_only
5126,,,Nordiska museet,nordiska-museet,Nordiska museet,,http://libris.kb.se/resource/auth/124867,Arken_only
5133,,,"Nordwall, Stig","Nordwall,-Stig","Nordwall, Stig",1913-1972,ediffah:kb:701373:1441692555,Arken_only
5135,,,"Norling, Eleonora","Norling,-Eleonora","Norling, Eleonora",1823-1862,ediffah:kb:196543:1357722285,Arken_only
5141,,,"Norrby, Theodor","Norrby,-Theodor","Norrby, Theodor",1828-1904,ediffah:kb:1007614:1426518428,Arken_only
5143,,,"Norrel, Anders","Norrel,-Anders","Norrel, Anders",1875-1949,https://libris.kb.se/zw9c7g3h0xj49nr#it,Arken_only
5146,,,Norstedts tryckeri,norstedts-tryckeri,Norstedts tryckeri,1823,https://libris.kb.se/hssm0kqdfzv4rlk9#it,Arken_only
5156,,,"Nyhlén, Sofia Lovisa Charlotta","Nyhlén,-Sofia-Lovisa-Charlotta","Nyhlén, Sofia Lovisa Charlotta",1806-1895,ediffah:kb:275955:1414038677,Arken_only
5157,,,"Nylander, Caroline",nylander-caroline,"Nylander, Caroline",1982-,https://libris.kb.se/64jmt21q4916j9l#it,Arken_only
5159,,,"Nylin, Vilhelm","Nylin,-Vilhelm","Nylin, Vilhelm",1857-1942,https://libris.kb.se/khw0700333kq9qt#it,Arken_only
5161,,,"Nylén, Pehr Gustaf",nylen-pehr-gustaf,"Nylén, Pehr Gustaf",1793-1870,https://libris.kb.se/khw043b34sw963t#it,Arken_only
5166,,,"Nyström, Eva","Nyström,-Eva-Sofia","Nyström, Eva",1802-1888,https://libris.kb.se/1bl6ks6czsxg4088#it,Arken_only
5167,,,"Nyström, Karl Gustaf","Nyström,-Karl-Gustaf","Nyström, Karl Gustaf",1895-1975,ediffah:kb:441038:1445337937,Arken_only
5168,,,"Nyström, Marianne","Nyström,-Marianne","Nyström, Marianne",1909-2004,https://libris.kb.se/gdsvxmn03cdsp37#it,Arken_only
5169,,,Nysvenska rörelsen,nysvenska-rorelsen,Nysvenska rörelsen,1930-,https://libris.kb.se/dbqsw88x3mq2lwv#it,Arken_only
5170,,,Näsby fastighetsägareförening,Näsby-fastighetsägareförening,Näsby fastighetsägareförening,,ediffah:kb:378047:1144768535,Arken_only
5172,,,"O'Konor, Louise","OKonor,-Louise","O'Konor, Louise",1931-2014,ediffah:kb:453823:1308818913,Arken_only
